Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HomePage,714,540,18,2417,364.10,0.000%,2.37725,2.36,0.59,1015.4
Page1,710,243,8,2882,244.38,0.000%,2.37453,3.31,0.31,1427.9
Page2,710,237,5,951,198.04,0.000%,2.37189,2.54,0.31,1095.8
Page3,707,250,6,3065,232.28,0.000%,2.36231,1.85,0.31,800.2
Page4,706,2389,254,24660,2628.74,0.000%,2.35621,5073.09,0.31,2204746.8
Page5,704,576,1,3742,410.57,0.142%,2.36113,67.27,0.31,29173.4
TOTAL,4251,704,1,24660,1344.69,0.024%,14.15363,5137.85,2.12,371717.7
