Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,3455170,0,1,1,2,4,0,898,0.000%,11517.27172,1835.70,1405.93
Page1,3455162,0,0,0,0,0,0,1021,0.000%,11550.24035,487.14,0.04
Page2,3455162,0,0,0,0,0,0,39,0.000%,11576.36188,0.04,0.00
Page3,3455162,0,0,0,0,0,0,42,0.000%,11577.91353,0.03,0.00
Page4,3455160,0,0,0,0,0,0,318,0.000%,11579.53650,72.16,0.00
Page5,3455160,0,0,0,0,0,0,38,0.000%,11591.22932,0.96,0.00
TOTAL,20730976,0,0,1,1,1,0,1021,0.000%,69103.48368,2394.23,1405.99
