Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,4879915,5,5,8,10,20,0,3005,0.000%,16265.35319,3123.86,1985.66
Page1,4879815,0,0,0,0,0,0,9820,0.000%,16271.79937,4859.15,0.38
Page2,4879815,0,0,0,0,0,0,892,0.000%,16453.78772,0.38,0.04
Page3,4879815,0,0,0,0,0,0,259,0.000%,16458.50478,0.29,0.04
Page4,4879815,0,0,0,0,0,0,2099,0.000%,16458.67132,726.21,0.04
Page5,4879815,0,0,0,0,0,0,692,0.000%,16521.30415,9.67,0.04
TOTAL,29278990,0,0,4,6,9,0,9820,0.000%,97590.45260,8708.84,1986.21
