Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,4706815,2,2,4,5,11,0,1413,0.000%,15688.91267,2725.70,1915.22
Page1,4706766,0,0,0,0,0,0,6234,0.000%,15694.45148,2429.53,0.19
Page2,4706766,0,0,0,0,0,0,944,0.000%,15843.21606,0.19,0.02
Page3,4706766,0,0,0,0,0,0,936,0.000%,15844.49606,0.14,0.02
Page4,4706765,0,0,0,0,0,0,1724,0.000%,15844.75939,362.41,0.02
Page5,4706765,0,0,0,0,0,0,141,0.000%,15870.61783,4.82,0.02
TOTAL,28240643,0,0,2,3,5,0,6234,0.000%,94132.65269,5518.29,1915.50
