Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,5526447,7,6,10,13,29,0,5672,0.000%,18418.78858,3764.82,2248.60
Page1,5526299,0,0,0,0,0,0,14207,0.000%,18664.12804,7382.32,0.58
Page2,5526298,0,0,0,0,0,0,1051,0.000%,19217.42759,0.59,0.07
Page3,5526298,0,0,0,0,0,0,1090,0.000%,19226.11911,0.44,0.07
Page4,5526297,0,0,0,0,0,0,2197,0.000%,19227.18590,1123.69,0.07
Page5,5526297,0,0,0,0,0,0,857,0.000%,19375.35542,15.04,0.07
TOTAL,33157936,1,0,6,7,12,0,14207,0.000%,110510.24516,12141.60,2249.42
