Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,1947,109,99,156,183,306,41,805,0.000%,6.48881,12045.59,3.49
Page1,1946,717,691,844,915,1366,445,2143,0.000%,6.49522,94653.05,8.40
Page2,1942,461,443,567,632,890,259,1205,0.000%,6.50066,61147.33,5.57
Page3,1938,112,102,184,215,313,24,745,0.000%,6.50678,13743.09,2.73
Page4,1938,131,121,177,205,286,56,758,0.000%,6.50512,14012.38,1.79
Page5,1937,9,7,19,25,44,0,287,0.000%,6.50874,191.94,1.79
TOTAL,11648,257,127,675,759,912,0,2143,0.000%,38.77471,194955.15,23.65
