Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HomePage,1962,105,40,899,51.90,0.000%,6.54061,12141.75,3.52,1900915.9
Page1,1962,717,374,3263,203.90,0.000%,6.53414,95220.25,8.45,14922472.6
Page2,1956,458,262,2527,130.85,0.000%,6.52555,61381.44,5.59,9632081.2
Page3,1952,107,23,687,59.51,0.000%,6.52799,13496.80,2.74,2117148.7
Page4,1952,129,62,1533,62.17,0.000%,6.53079,14067.66,1.79,2205750.4
Page5,1952,9,1,156,9.77,0.000%,6.53356,192.69,1.79,30199.5
TOTAL,11736,255,1,3263,272.38,0.000%,39.07493,196209.54,23.83,5141878.6
