Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,2032,933,924,1284,1407,1640,63,2634,0.000%,6.75581,12541.25,3.64
Page1,2023,7224,7228,8312,8570,9369,2770,10133,0.000%,6.68230,97379.36,8.64
Page2,1983,4718,4707,5532,5725,6219,2541,7032,0.000%,6.67859,62821.01,5.72
Page3,1950,1043,981,1863,2083,2515,58,3112,0.000%,6.71326,13987.58,2.82
Page4,1937,1109,1092,1503,1630,1943,89,2482,0.000%,6.68380,14397.27,1.83
Page5,1932,21,11,51,81,144,1,385,0.000%,6.72730,198.38,1.85
TOTAL,11857,2538,1167,7050,7689,8520,1,10133,0.000%,39.15372,198783.01,24.07
