Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,2036,472,463,659,731,904,50,1375,0.000%,6.78084,12587.70,3.65
Page1,2034,3542,3532,4158,4331,4852,1441,6043,0.000%,6.74893,98350.35,8.73
Page2,2013,2317,2315,2789,2932,3304,792,3846,0.000%,6.71808,63192.51,5.75
Page3,2000,508,469,921,1051,1293,35,1588,0.000%,6.74750,13902.99,2.83
Page4,1993,566,557,771,855,1035,100,1638,0.000%,6.73299,14503.23,1.85
Page5,1986,13,9,31,43,88,1,178,0.000%,6.73684,198.70,1.85
TOTAL,12062,1244,584,3427,3775,4279,1,6043,0.000%,40.01473,201791.93,24.49
