Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,714,540,487,1023,1147,1527,18,2417,0.000%,2.37725,2.36,0.59
Page1,710,243,200,535,622,853,8,2882,0.000%,2.37453,3.31,0.31
Page2,710,237,204,531,600,744,5,951,0.000%,2.37189,2.54,0.31
Page3,707,250,214,520,614,760,6,3065,0.000%,2.36231,1.85,0.31
Page4,706,2389,1606,4009,8737,12506,254,24660,0.000%,2.35621,5073.09,0.31
Page5,704,576,469,1078,1414,2009,1,3742,0.142%,2.36113,67.27,0.31
TOTAL,4251,704,379,1498,2360,7269,1,24660,0.024%,14.15363,5137.85,2.12
