Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,3593463,3,3,5,7,16,0,9164,0.000%,11861.72783,2133.26,1448.03
Page1,3593413,0,0,0,0,0,0,5727,0.000%,11991.99402,2431.55,0.19
Page2,3593413,0,0,0,0,0,0,280,0.000%,12116.04509,0.19,0.02
Page3,3593413,0,0,0,0,0,0,144,0.000%,12118.45584,0.14,0.02
Page4,3593413,0,0,0,0,0,0,1398,0.000%,12119.76377,363.10,0.02
Page5,3593413,0,0,0,0,0,0,267,0.000%,12171.24151,4.84,0.02
TOTAL,21560528,0,0,3,3,6,0,9164,0.000%,71169.54177,4898.77,1448.31
