HomePage,45502,65,7,32,81,1042,3,58436,99.778%,544.39951,1353.85,0.30
Page1,101,776,49,717,935,995,10,57674,0.990%,1.55826,2.18,0.20
Page2,100,336,59,1278,1345,1374,28,1376,0.000%,26.22607,28.07,3.41
Page3,100,465,124,1367,1723,1744,30,1754,0.000%,19.03312,14.88,2.47
Page4,100,48967,62959,64666,64687,64717,1491,64718,95.000%,1.54495,168.16,0.01
Page5,5,2044,2295,2336,2525,2525,1327,2525,0.000%,.93318,26.63,0.12
TOTAL,45908,175,7,33,586,1048,3,64718,99.105%,549.25702,1489.69,0.78
